"review_class","recipe_id","output_id","ordinary_input_id","compressed_1x_candidate","compressed_2x_candidate","material_family","source","source_path","decision"
"foundational-first-pass","ae2:misc/chests_sky_stone","ae2:sky_stone_chest","ae2:sky_stone_block","allthecompressed:sky_stone_block_1x","allthecompressed:sky_stone_block_2x","sky_stone_block","appliedenergistics2-19.2.17.jar","data/ae2/recipe/misc/chests_sky_stone.json","unreviewed"
"foundational-first-pass","ae2lt:lightning_assembly/railgun_module_compute","ae2lt:railgun_module_compute","minecraft:redstone_block","allthecompressed:redstone_block_1x","allthecompressed:redstone_block_2x","redstone_block","ae2lt-2.0.8.jar","data/ae2lt/recipe/lightning_assembly/railgun_module_compute.json","unreviewed"
"foundational-first-pass","exdeorum:acacia_barrel","exdeorum:acacia_barrel","minecraft:acacia_planks","allthecompressed:acacia_planks_1x","allthecompressed:acacia_planks_2x","acacia_planks","exdeorum-3.12.jar","data/exdeorum/recipe/acacia_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:birch_barrel","exdeorum:birch_barrel","minecraft:birch_planks","allthecompressed:birch_planks_1x","allthecompressed:birch_planks_2x","birch_planks","exdeorum-3.12.jar","data/exdeorum/recipe/birch_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:cherry_barrel","exdeorum:cherry_barrel","minecraft:cherry_planks","allthecompressed:cherry_planks_1x","allthecompressed:cherry_planks_2x","cherry_planks","exdeorum-3.12.jar","data/exdeorum/recipe/cherry_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:dark_oak_barrel","exdeorum:dark_oak_barrel","minecraft:dark_oak_planks","allthecompressed:dark_oak_planks_1x","allthecompressed:dark_oak_planks_2x","dark_oak_planks","exdeorum-3.12.jar","data/exdeorum/recipe/dark_oak_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:jungle_barrel","exdeorum:jungle_barrel","minecraft:jungle_planks","allthecompressed:jungle_planks_1x","allthecompressed:jungle_planks_2x","jungle_planks","exdeorum-3.12.jar","data/exdeorum/recipe/jungle_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:mangrove_barrel","exdeorum:mangrove_barrel","minecraft:mangrove_planks","allthecompressed:mangrove_planks_1x","allthecompressed:mangrove_planks_2x","mangrove_planks","exdeorum-3.12.jar","data/exdeorum/recipe/mangrove_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:oak_barrel","exdeorum:oak_barrel","minecraft:oak_planks","allthecompressed:oak_planks_1x","allthecompressed:oak_planks_2x","oak_planks","exdeorum-3.12.jar","data/exdeorum/recipe/oak_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:spruce_barrel","exdeorum:spruce_barrel","minecraft:spruce_planks","allthecompressed:spruce_planks_1x","allthecompressed:spruce_planks_2x","spruce_planks","exdeorum-3.12.jar","data/exdeorum/recipe/spruce_barrel.json","unreviewed"
"foundational-first-pass","exdeorum:stone_barrel","exdeorum:stone_barrel","minecraft:stone","allthecompressed:stone_1x","allthecompressed:stone_2x","stone","exdeorum-3.12.jar","data/exdeorum/recipe/stone_barrel.json","unreviewed"
"foundational-first-pass","mekanite_mobs:craft_meka_armor_1","mekanite_mobs:mekanite_armor_chestplate","minecraft:iron_block","allthecompressed:iron_block_1x","allthecompressed:iron_block_2x","iron_block","mekanite_mobs-1.0.6VNEON-neoforge-1.21.1.jar","data/mekanite_mobs/recipe/craft_meka_armor_1.json","unreviewed"
"foundational-first-pass","quark:tweaks/crafting/utility/chest_boat/direct_acacia_chest_boat","minecraft:acacia_chest_boat","minecraft:acacia_planks","allthecompressed:acacia_planks_1x","allthecompressed:acacia_planks_2x","acacia_planks","Quark-4.1-482.jar","data/quark/recipe/tweaks/crafting/utility/chest_boat/direct_acacia_chest_boat.json","unreviewed"
"foundational-first-pass","quark:tweaks/crafting/utility/chest_boat/direct_birch_chest_boat","minecraft:birch_chest_boat","minecraft:birch_planks","allthecompressed:birch_planks_1x","allthecompressed:birch_planks_2x","birch_planks","Quark-4.1-482.jar","data/quark/recipe/tweaks/crafting/utility/chest_boat/direct_birch_chest_boat.json","unreviewed"
"foundational-first-pass","quark:building/crafting/furnaces/blackstone_blast_furnace","minecraft:blast_furnace","minecraft:smooth_stone","allthecompressed:smooth_stone_1x","allthecompressed:smooth_stone_2x","smooth_stone","Quark-4.1-482.jar","data/quark/recipe/building/crafting/furnaces/blackstone_blast_furnace.json","unreviewed"
"foundational-first-pass","quark:building/crafting/furnaces/deepslate_blast_furnace","minecraft:blast_furnace","minecraft:smooth_stone","allthecompressed:smooth_stone_1x","allthecompressed:smooth_stone_2x","smooth_stone","Quark-4.1-482.jar","data/quark/recipe/building/crafting/furnaces/deepslate_blast_furnace.json","unreviewed"
"foundational-first-pass","quark:tweaks/crafting/utility/chest_boat/direct_cherry_chest_boat","minecraft:cherry_chest_boat","minecraft:cherry_planks","allthecompressed:cherry_planks_1x","allthecompressed:cherry_planks_2x","cherry_planks","Quark-4.1-482.jar","data/quark/recipe/tweaks/crafting/utility/chest_boat/direct_cherry_chest_boat.json","unreviewed"
